Main Topic,Sub-topic
Measurements and Uncertainties,SI Units and Prefixes
Measurements and Uncertainties,Measurement Tools and Techniques
Measurements and Uncertainties,Uncertainty and Error Analysis
Measurements and Uncertainties,Graphing and Data Interpretation
Mechanics,Scalars and Vectors
Mechanics,"Kinematics (suvat equations, graphs)"
Mechanics,Newton’s Laws of Motion
Mechanics,Momentum and Impulse
Mechanics,"Work, Energy and Power"
Mechanics,Conservation of Energy
Mechanics,Circular Motion
Mechanics,Oscillations and SHM
Mechanics,Damping and Resonance
Materials,Density and Pressure
Materials,Hooke’s Law and Elasticity
Materials,"Stress, Strain, Young’s Modulus"
Materials,Springs in Series and Parallel
Materials,Area under Force-Extension Graphs
Waves and Optics,"Wave Properties"
Waves and Optics,Superposition and Interference
Waves and Optics,Diffraction and Young’s Double Slit
Waves and Optics,Standing Waves
Waves and Optics,Refraction and Snell’s Law
Waves and Optics,Total Internal Reflection and Optical Fibres
Waves and Optics,Polarisation
Electricity,"Charge, Current, and Time"
Electricity,Potential Difference and EMF
Electricity,Resistance and Ohm’s Law
Electricity,IV Characteristics
Electricity,Power and Energy Transfer
Electricity,Series and Parallel Circuits
Electricity,Kirchhoff’s Laws
Electricity,Internal Resistance
Electricity,Capacitance and RC Circuits
Thermal Physics,Temperature and Thermometers
Thermal Physics,Specific Heat Capacity
Thermal Physics,Latent Heat
Thermal Physics,Kinetic Theory of Gases
Thermal Physics,Ideal Gas Equation
Thermal Physics,Thermodynamic Processes
Fields,Gravitational Fields and Orbits
Fields,Electric Fields and Coulomb’s Law
Fields,Electric Potential
Fields,Capacitors in Fields
Fields,Magnetic Fields and Forces
Fields,Electromagnetic Induction
Fields,Alternating Currents
Fields,Transformers and Power Transmission
Nuclear and Particle Physics,Atomic Structure and Isotopes
Nuclear and Particle Physics,Radioactivity and Decay Equations
Nuclear and Particle Physics,Nuclear Equations and Half-life
Nuclear and Particle Physics,Binding Energy and Fission/Fusion
Nuclear and Particle Physics,"Fundamental Particles (quarks, leptons)"
Nuclear and Particle Physics,Particle Accelerators and Detectors
Quantum Physics,Photoelectric Effect
Quantum Physics,Einstein’s Photoelectric Equation
Quantum Physics,Energy Levels and Spectral Lines
Quantum Physics,Wave-Particle Duality and de Broglie
Astrophysics and Cosmology,Stellar Classification and HR Diagrams
Astrophysics and Cosmology,Stellar Evolution
Astrophysics and Cosmology,Redshift and Hubble’s Law
Astrophysics and Cosmology,The Big Bang and Cosmic Microwave Background
Astrophysics and Cosmology,Dark Matter and Dark Energy
Medical Physics,X-rays and Attenuation
Medical Physics,CT Scans and Gamma Cameras
Medical Physics,Ultrasound and Piezoelectricity
Medical Physics,PET and MRI Scans
Medical Physics,Radiation Doses and Safety
Engineering Physics,Rotational Dynamics and Moment of Inertia
Engineering Physics,Stress-Strain in Real Materials
Engineering Physics,Thermodynamics in Engines
Engineering Physics,Power Transmission and Efficiency
Practical Skills,Required Practicals (CPAC)
Practical Skills,Planning and Hypothesis
Practical Skills,Using Measuring Instruments
Practical Skills,Analysing and Presenting Data
Practical Skills,Evaluating Results and Improvements
Practical Skills,Uncertainties and Error Bars
