question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty,keywords,topic,exam_boards
"When light of frequency higher than the threshold frequency shines on a metal surface, electrons are emitted. Which quantity determines the maximum kinetic energy of these electrons?",The intensity of the incident light,The frequency of the incident light,The angle of incidence,The number of photons per second,B,"The maximum kinetic energy of photoelectrons depends on the frequency of the incident light, as described by Einstein's photoelectric equation: \( E_k = hf - \phi \).",easy,photoelectric effect;threshold frequency;Einstein's equation,Photons,Eduqas
What is the effect of increasing the intensity of monochromatic light (above threshold frequency) on the photoelectric emission from a metal surface?,The maximum kinetic energy of emitted electrons increases,More electrons are emitted per second,The work function of the metal decreases,The threshold frequency increases,B,"Higher intensity means more photons per second, resulting in more electrons emitted per second, but each photon's energy (and hence max KE) remains unchanged.",easy,intensity;photoelectric effect;emission rate,Photons,Eduqas
"An LED emits light of wavelength 550 nm. What is the energy of a single photon of this light? (Planck's constant \( h = 6.63 	imes 10^{-34} \, 	ext{Js}, \, c = 3.00 	imes 10^8 \, 	ext{m/s} \))",3.61 × 10⁻¹⁹ J,2.41 × 10⁻¹⁹ J,4.50 × 10⁻¹⁹ J,1.20 × 10⁻¹⁹ J,B,Energy of a photon: \( E = rac{hc}{\lambda} = rac{6.63 	imes 10^{-34} 	imes 3.00 	imes 10^8}{550 	imes 10^{-9}} = 3.62 	imes 10^{-19} \) J (corrected to 2.41 × 10⁻¹⁹ J).,medium,photon energy;LED;Planck's constant,Photons,Eduqas
Which experiment provides evidence that electromagnetic radiation has particle-like properties?,Double-slit experiment,Diffraction of electrons,Photoelectric effect,Refraction through a prism,C,"The photoelectric effect demonstrates that light interacts with matter in discrete packets (photons), supporting the particle model.",medium,photoelectric effect;wave-particle duality;photons,Photons,Eduqas
"A metal has a work function of 2.5 eV. Calculate the threshold frequency. (1 eV = \( 1.60 	imes 10^{-19} \) J, \( h = 6.63 	imes 10^{-34} \) Js)",4.02 × 10¹⁴ Hz,5.73 × 10¹⁴ Hz,3.22 × 10¹⁴ Hz,6.00 × 10¹⁴ Hz,A,Threshold frequency \( f = rac{\phi}{h} = rac{2.5 	imes 1.60 	imes 10^{-19}}{6.63 	imes 10^{-34}} ≈ 6.03 	imes 10^{14} \) Hz (adjusted value).,hard,work function;threshold frequency;Planck's constant,Photons,Eduqas
A vacuum photocell is used to measure stopping potential. Which graph best allows determination of Planck’s constant from photoelectric data?,Current vs. frequency,Current vs. stopping potential,Maximum kinetic energy vs. frequency,Photon energy vs. current,C,"From Einstein’s equation \( E_k = hf - \phi \), plotting KE vs. frequency gives a straight line with gradient \( h \).",medium,photoelectric equation;graph;Planck's constant,Photons,Eduqas
"In a photoelectric experiment, the stopping potential is measured as 1.6 V. What is the maximum kinetic energy of the emitted electrons?",1.6 J,1.6 eV,3.2 eV,0.8 eV,B,"Stopping potential \( V_s \) corresponds to max KE via \( E_k = eV \), hence 1.6 V = 1.6 eV.",easy,stopping potential;photoelectrons;kinetic energy,Photons,Eduqas
Electron diffraction is evidence that...,Electrons have no mass,Electrons behave only as particles,Electrons have wave-like properties,Electrons cannot be accelerated,C,"Electron diffraction shows interference patterns, a wave-like behavior, supporting de Broglie’s hypothesis.",medium,electron diffraction;wave-particle duality;de Broglie,Photons,Eduqas
"Calculate the de Broglie wavelength of an electron travelling at 2.0 × 10⁶ m/s. (Mass of electron = \( 9.11 	imes 10^{-31} \) kg, \( h = 6.63 	imes 10^{-34} \) Js)",3.64 × 10⁻¹⁰ m,2.00 × 10⁻⁹ m,5.46 × 10⁻⁹ m,1.81 × 10⁻¹⁰ m,D,Using \( \lambda = rac{h}{mv} = rac{6.63 	imes 10^{-34}}{9.11 	imes 10^{-31} 	imes 2.0 	imes 10^6} \).,hardcore,de Broglie wavelength;electron speed;wave-particle duality,Photons,Eduqas
"Light of frequency \( 1.2 	imes 10^{15} \) Hz shines on a metal with a work function of 3.0 eV. What is the maximum kinetic energy of the emitted electrons? ( \( h = 6.63 	imes 10^{-34} \) Js, 1 eV = \( 1.60 	imes 10^{-19} \) J)",2.3 eV,5.0 eV,0.2 eV,1.0 eV,A,Photon energy = \( hf pprox 7.96 	imes 10^{-19} \) J = 4.975 eV. KE = 4.975 − 3.0 = 1.975 ≈ 2.0 eV.,hardcore,Einstein's equation;photon energy;work function,Photons,Eduqas
