topic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
"Work, Energy & Power",work done;force;displacement,AQA;OCR;Edexcel;Eduqas,What is the formula for work done by a force F acting over displacement s at an angle θ?,W = Fs,W = Fs cos(θ),W = F/s,W = Fs sin(θ),B,Work done is the component of force in the direction of displacement: W = Fs cos(θ).,easy
"Work, Energy & Power",kinetic energy;mass;velocity,AQA;Edexcel,An object of mass 2 kg moves at 3 m/s. What is its kinetic energy?,3 J,6 J,9 J,18 J,C,KE = 1/2 mv² = 1/2 × 2 × 3² = 9 J,easy
"Work, Energy & Power",gravitational potential energy;height;mass,OCR;Eduqas,What is the gravitational potential energy of a 5 kg object 10 m above the ground? (g = 9.8 m/s²),490 J,50 J,980 J,49 J,A,GPE = mgh = 5 × 9.8 × 10 = 490 J,easy
"Work, Energy & Power",conservation of energy;mechanical energy,AQA;OCR,A pendulum swings from its highest to lowest point. Which statement is true?,Kinetic energy is created from nothing,Potential energy remains constant,Total mechanical energy is conserved (ignoring air resistance),Energy is destroyed at the lowest point,C,"Energy is converted between potential and kinetic, but total mechanical energy remains constant.",medium
"Work, Energy & Power",power;energy;time,Edexcel;AQA,A motor does 6000 J of work in 60 seconds. What is its power output?,100 W,10 W,600 W,1000 W,A,Power = work / time = 6000 / 60 = 100 W,easy
"Work, Energy & Power",efficiency;useful energy;input energy,OCR;Eduqas,A machine has an input power of 200 W and an output of 160 W. What is its efficiency?,80%,160%,40%,20%,A,Efficiency = (useful / input) × 100 = (160 / 200) × 100 = 80%,medium
"Work, Energy & Power",springs;elastic potential energy;Hooke's Law,AQA;Edexcel,What is the elastic potential energy stored in a spring with k = 100 N/m and extension x = 0.2 m?,2 J,1 J,10 J,4 J,B,EPE = 1/2 kx² = 0.5 × 100 × 0.2² = 1 J,medium
"Work, Energy & Power",force-distance graph;area under graph;work,OCR;Eduqas,What does the area under a force–displacement graph represent?,Velocity,Power,Acceleration,Work done,D,The area under a force-displacement graph gives the work done by the force.,easy
"Work, Energy & Power",friction;energy transfer;heat,AQA;Edexcel,Why does friction reduce mechanical efficiency?,It adds more force to the system,It increases kinetic energy,It transfers useful energy into thermal energy,It creates energy,C,"Friction converts some useful mechanical energy into heat, reducing efficiency.",medium
"Work, Energy & Power",power;lifting;work rate,AQA;OCR,Which person is more powerful: one who lifts a 10 kg weight 2 m in 5 seconds or 2 seconds?,The one who takes 5 seconds,The one who takes 2 seconds,Both are equally powerful,It depends on the height,B,Power is the rate of doing work. Less time means higher power.,medium
